epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.164,1.48376,2.91452,1.29635,0.00341,0.94681,0.58825,0.31755,1.27408,3.60221,1.10846,0.00042,0.00042,0.00042
2,208.489,1.43894,1.98958,1.24949,0.00326,0.90426,0.3435,0.15215,1.45846,3.71477,1.29118,0.000842972,0.000842972,0.000842972
3,311.559,1.48353,1.79097,1.2548,0.81275,0.24468,0.59842,0.27009,1.58575,3.12855,1.3973,0.00124852,0.00124852,0.00124852
4,414.583,1.51315,1.70235,1.29472,0.88624,0.62766,0.76637,0.3637,1.70029,2.35618,1.56577,0.00163664,0.00163664,0.00163664
5,516.244,1.53964,1.5988,1.31405,0.86838,0.70187,0.77577,0.37575,1.7248,2.12048,1.58941,0.0018416,0.0018416,0.0018416
6,616.275,1.49902,1.46823,1.28831,0.79875,0.57447,0.68877,0.37006,1.64606,3.6041,1.5521,0.001802,0.001802,0.001802
7,718.714,1.53579,1.516,1.30474,0.72723,0.65957,0.67334,0.36575,1.61434,2.2308,1.5367,0.0017624,0.0017624,0.0017624
8,817.587,1.44626,1.42227,1.27572,0.87258,0.73404,0.79936,0.42757,1.58641,1.94525,1.45579,0.0017228,0.0017228,0.0017228
9,915.416,1.41308,1.28235,1.25802,0.79306,0.78723,0.76812,0.40946,1.6281,1.63761,1.47475,0.0016832,0.0016832,0.0016832
10,1014.52,1.38641,1.25245,1.23209,0.70696,0.76998,0.67687,0.32805,1.71094,2.05311,1.51829,0.0016436,0.0016436,0.0016436
11,1116.98,1.42213,1.19099,1.2458,0.7864,0.76596,0.79141,0.37363,1.64249,1.39693,1.38199,0.001604,0.001604,0.001604
12,1218.04,1.37134,1.13921,1.22665,0.78677,0.81915,0.85772,0.43467,1.53993,1.40223,1.39683,0.0015644,0.0015644,0.0015644
13,1318.35,1.32722,1.0366,1.19202,0.79228,0.81153,0.78134,0.39287,1.64635,1.30918,1.48398,0.0015248,0.0015248,0.0015248
14,1420.08,1.32731,1.05964,1.19006,0.8967,0.81915,0.89002,0.47774,1.53207,1.0829,1.43253,0.0014852,0.0014852,0.0014852
15,1524.83,1.39313,1.03769,1.24835,0.84673,0.8617,0.88185,0.46234,1.43425,1.27774,1.36082,0.0014456,0.0014456,0.0014456
16,1855.75,1.37118,1.01551,1.20344,0.89908,0.78723,0.83963,0.44212,1.55819,1.14875,1.35458,0.001406,0.001406,0.001406
17,2325.69,1.2798,0.95735,1.17654,0.93913,0.82071,0.90423,0.48455,1.42921,1.06678,1.30313,0.0013664,0.0013664,0.0013664
18,2425.73,1.30507,0.9315,1.18946,0.83403,0.8554,0.86911,0.44555,1.52803,1.02849,1.37058,0.0013268,0.0013268,0.0013268
19,2530.04,1.32132,0.91359,1.20128,0.86271,0.80225,0.85218,0.46392,1.53321,1.05704,1.35333,0.0012872,0.0012872,0.0012872
20,2628.93,1.29571,0.93687,1.18915,0.95453,0.89321,0.94071,0.50839,1.48722,0.87931,1.31799,0.0012476,0.0012476,0.0012476
21,2725.74,1.29795,0.9134,1.15934,0.88064,0.86341,0.86545,0.47804,1.48406,0.97473,1.35167,0.001208,0.001208,0.001208
22,2822.86,1.26566,0.81204,1.15474,0.86996,0.85409,0.90246,0.50891,1.48108,0.90915,1.35603,0.0011684,0.0011684,0.0011684
23,2918.19,1.23908,0.84847,1.14492,0.86621,0.91489,0.91208,0.52698,1.42284,0.97501,1.28734,0.0011288,0.0011288,0.0011288
24,3020.24,1.2623,0.84938,1.16163,0.91723,0.90426,0.94219,0.51918,1.48152,0.83334,1.32059,0.0010892,0.0010892,0.0010892
25,3117.06,1.20271,0.81634,1.13631,0.93137,0.90426,0.94877,0.52812,1.49048,0.79433,1.36842,0.0010496,0.0010496,0.0010496
26,3215.21,1.23591,0.78562,1.12941,0.97792,0.84043,0.94222,0.51485,1.46101,0.81868,1.30906,0.00101,0.00101,0.00101
27,3316.58,1.20917,0.78598,1.11416,0.92553,0.84043,0.9074,0.50319,1.43516,0.80144,1.2812,0.0009704,0.0009704,0.0009704
28,3418.52,1.24313,0.77695,1.14319,0.93344,0.89511,0.93248,0.51822,1.4515,0.78125,1.34147,0.0009308,0.0009308,0.0009308
29,3514.6,1.1979,0.76124,1.13015,0.95647,0.87234,0.9323,0.53066,1.45373,0.74407,1.3168,0.0008912,0.0008912,0.0008912
30,3611.34,1.18143,0.75026,1.12373,0.91279,0.89083,0.93213,0.50893,1.4095,0.80792,1.27909,0.0008516,0.0008516,0.0008516
31,3708.78,1.13368,0.70896,1.09816,0.91609,0.88298,0.94773,0.53004,1.44946,0.74885,1.32873,0.000812,0.000812,0.000812
32,3803.53,1.17332,0.72512,1.11785,0.94139,0.89362,0.926,0.52094,1.44028,0.75568,1.32865,0.0007724,0.0007724,0.0007724
33,3899.59,1.14809,0.71294,1.10531,0.93514,0.92553,0.94666,0.53044,1.43544,0.76841,1.29939,0.0007328,0.0007328,0.0007328
34,3994.54,1.17475,0.69938,1.10375,0.91592,0.87234,0.90659,0.52816,1.45485,0.76755,1.32098,0.0006932,0.0006932,0.0006932
